_id,GDP,FEDFUNDS,DTWEXAFEGS,DGS10,PCEPI,PPIACO,UNRATE,INDPRO,T10Y2Y,XTEXVA01KRQ659S,XTIMVA01KRQ667S,KOR_CPI,US_CPI,date
680895eefeea2feabe4edce2,12767.286,2.28,#NUM!,#NUM!,80.907,150.9,5.3,95.8785,#NUM!,12.11734,61088330000,85.61,88.02,2005-01-01 0:00
680895eefeea2feabe4edce3,12922.656,2.79,#NUM!,4.46,81.603,155,5.2,96.6347,0.71,9.127494,63786120000,86.01,89.2,2005-04-01 0:00
680895eefeea2feabe4edce4,13142.642,3.26,#NUM!,4.06,82.046,156.3,5,96.8397,0.3,14.98811,67142990000,86.47,90.28,2005-07-01 0:00
680895eefeea2feabe4edce5,13324.204,3.78,#NUM!,#NUM!,83.305,166.2,5,96.4411,#NUM!,11.57747,69654880000,86.53,90.74,2005-10-01 0:00
680895eefeea2feabe4edce6,13599.16,4.29,#NUM!,#NUM!,83.534,164.3,4.7,98.127,#NUM!,10.99949,72848390000,87.39,91.23,2006-01-01 0:00
680895eefeea2feabe4edce7,13753.424,4.79,#NUM!,#NUM!,84.135,164.3,4.7,98.6826,#NUM!,16.60283,76790520000,87.93,92.77,2006-04-01 0:00
680895eefeea2feabe4edce8,13870.188,5.24,#NUM!,#NUM!,84.858,166.8,4.7,98.9751,#NUM!,15.78307,81727620000,88.65,93.29,2006-07-01 0:00
680895eefeea2feabe4edce9,14039.56,5.25,#NUM!,#NUM!,84.702,162.2,4.4,99.1229,#NUM!,14.45263,78872620000,88.36,92.5,2006-10-01 0:00
680895eefeea2feabe4edcea,14215.651,5.25,96.3618,#NUM!,85.316,164,4.6,99.7546,#NUM!,14.67628,82622020000,89.14,93.44,2007-01-01 0:00
680895eefeea2feabe4edceb,14402.082,5.25,#NUM!,#NUM!,86.096,171.4,4.5,101.5723,#NUM!,13.6931,88062860000,90.09,95.23,2007-04-01 0:00
680895eefeea2feabe4edcec,14564.117,5.26,#NUM!,#NUM!,86.661,175.1,4.7,101.4953,#NUM!,9.761068,87453820000,90.69,95.5,2007-07-01 0:00
680895eefeea2feabe4edced,14715.058,4.76,87.9297,4.56,87.318,174.7,4.7,101.6446,0.54,17.96962,98672330000,91.35,96.18,2007-10-01 0:00
